Area_sqft,Location,BHK,Parking,Gym,Pool,Lift,PowerBackup,AC,Rent_Monthly
1110,Hadapsar,2,1,1,1,1,1,0,23100.0
1050,Hadapsar,2,1,0,0,1,1,0,22500.0
1160,Hadapsar,2,1,1,1,1,1,0,27000.0
1078,Hadapsar,2,1,1,1,1,1,0,27900.0
555,Hadapsar,1,1,0,0,1,1,0,18000.0
650,Hadapsar,1,1,0,0,1,1,1,18600.0
600,Hadapsar,1,1,0,0,1,1,0,15000.0
650,Hadapsar,1,1,0,0,1,1,0,19500.0
700,Hadapsar,1,1,1,1,1,1,0,15600.0
646,Hadapsar,1,1,0,0,1,1,0,12600.0
560,Hadapsar,1,1,0,0,1,1,0,16500.0
670,Hadapsar,1,1,1,1,1,1,0,16500.0
740,Hadapsar,1,1,1,1,1,1,0,18000.0
636,Hadapsar,1,1,1,1,1,1,0,16500.0
680,Hadapsar,1,1,0,0,1,1,0,12600.0
1635,Hadapsar,3,1,1,1,1,1,0,49500.0
1550,Hadapsar,3,1,1,0,1,1,0,34200.0
1500,Hadapsar,3,1,1,1,1,1,0,40500.0
1850,Hadapsar,3,1,1,1,1,1,1,67500.0
2100,Hadapsar,4,1,1,1,1,1,0,120000.0
610,Hadapsar,1,1,1,1,1,1,0,17100.0
655,Hadapsar,1,1,0,0,0,1,0,14400.0
660,Hadapsar,1,1,0,0,1,1,0,13500.0
650,Hadapsar,1,1,0,0,1,1,0,12900.0
680,Hadapsar,1,1,1,1,1,1,0,13500.0
670,Hadapsar,1,1,1,1,1,1,0,15900.0
655,Hadapsar,1,1,0,0,1,1,0,14400.0
1800,Hadapsar,3,1,1,1,1,1,0,39000.0
1645,Hadapsar,3,1,1,1,1,1,0,46500.0
1395,Hadapsar,3,1,1,1,1,1,0,39000.0
1150,Hadapsar,2,1,1,1,1,1,0,25500.0
1200,Hadapsar,2,1,1,1,1,1,0,28200.0
1150,Hadapsar,2,1,1,1,1,1,0,24000.0
615,Hadapsar,1,1,0,0,1,1,0,13500.0
670,Hadapsar,1,1,1,1,1,1,0,15900.0
765,Hadapsar,1,1,1,1,1,1,0,18000.0
650,Hadapsar,1,1,1,1,1,1,0,16800.0
655,Hadapsar,1,1,0,0,1,1,0,14400.0
1760,Hadapsar,3,1,1,1,1,1,0,52500.0
1415,Hadapsar,3,1,1,1,1,1,0,36000.0
1685,Hadapsar,3,1,1,1,1,1,0,45000.0
1800,Hadapsar,3,1,1,1,1,1,0,39000.0
1650,Hadapsar,3,1,1,1,1,1,0,49800.0
1395,Hadapsar,3,1,1,1,1,1,0,39000.0
1200,Hadapsar,2,1,1,1,1,1,0,28200.0
1650,Hadapsar,3,1,1,1,1,1,0,49800.0
1395,Hadapsar,3,1,1,1,1,1,0,39000.0
1200,Hadapsar,2,1,1,1,1,1,0,28200.0
1150,Hadapsar,2,1,1,1,1,1,0,24000.0
650,Hadapsar,1,1,0,0,1,1,0,17100.0
560,Hadapsar,1,1,0,0,1,1,0,16500.0
765,Hadapsar,1,1,1,1,1,1,0,18000.0
650,Hadapsar,1,1,1,1,1,1,0,16800.0
655,Hadapsar,1,1,0,0,1,1,0,14700.0
1390,Hadapsar,3,1,1,1,1,1,0,40500.0
1590,Hadapsar,3,1,1,1,1,1,0,66000.0
1760,Hadapsar,3,1,1,1,1,1,0,52500.0
1716,Hadapsar,3,1,1,1,1,1,1,53400.0
1680,Hadapsar,3,1,1,1,1,1,0,42000.0
1050,Hadapsar,2,1,1,1,1,1,0,21600.0
1100,Hadapsar,2,1,0,0,1,1,0,21000.0
1635,Hadapsar,3,1,1,1,1,1,0,45000.0
1078,Hadapsar,2,1,1,1,1,1,0,30000.0
1760,Hadapsar,3,1,1,1,1,1,0,52500.0
1415,Hadapsar,3,1,1,1,1,1,0,33000.0
1800,Hadapsar,3,1,1,1,1,1,0,39000.0
1147,Hadapsar,2,1,1,1,1,1,0,37500.0
1197,Hadapsar,2,1,1,1,1,1,1,39000.0
1300,Hadapsar,3,1,0,1,1,1,0,45000.0
1050,Hadapsar,2,1,0,0,1,1,0,22500.0
1240,Hadapsar,2,1,1,1,1,1,0,28500.0
1160,Hadapsar,2,1,1,1,1,1,0,27000.0
650,Hadapsar,1,1,0,0,1,1,1,18600.0
650,Hadapsar,1,1,1,0,1,1,0,16500.0
600,Sector 20 Kharghar,1,1,0,0,1,1,0,15000.0
550,Hadapsar,1,1,0,0,1,1,1,15000.0
550,Hadapsar,1,1,1,1,1,1,0,16500.0
650,Hadapsar,1,1,0,0,1,1,0,12600.0
700,Hadapsar,1,1,1,1,1,1,0,15600.0
646,Hadapsar,1,1,0,0,1,1,0,12600.0
650,Hadapsar,1,1,0,0,1,1,0,19500.0
740,Hadapsar,1,1,1,1,1,1,0,18000.0
570,Hadapsar,1,1,0,0,1,1,0,15000.0
670,Hadapsar,1,1,1,1,1,1,0,16500.0
680,Hadapsar,1,1,0,0,1,1,0,12600.0
636,Hadapsar,1,1,1,1,1,1,0,16500.0
640,Hadapsar,1,1,1,1,1,1,0,12900.0
1700,Hadapsar,3,1,1,1,1,1,0,46500.0
1635,Hadapsar,3,1,1,1,1,1,0,49500.0
1550,Hadapsar,3,1,0,0,1,1,0,34200.0
1530,Hadapsar,3,1,1,1,1,1,0,36000.0
1500,Hadapsar,3,1,1,1,1,1,0,40500.0
1750,Hadapsar,3,1,0,0,1,1,0,48000.0
1590,Hadapsar,3,1,1,1,1,1,0,66000.0
1415,Hadapsar,3,1,1,1,1,1,0,33000.0
1650,Hadapsar,3,1,1,1,1,1,0,49800.0
1687,Hadapsar,3,1,1,1,1,1,0,42000.0
1150,Hadapsar,2,1,1,1,1,1,0,25500.0
1050,Hadapsar,2,1,0,0,1,1,0,22500.0
555,Hadapsar,1,1,0,0,1,1,0,18000.0
600,Hadapsar,1,1,0,0,1,1,0,14700.0
646,Hadapsar,1,1,0,0,1,1,0,12600.0
650,Hadapsar,1,1,0,0,1,1,0,19500.0
650,Hadapsar,1,1,0,0,1,1,0,13500.0
740,Hadapsar,1,1,1,1,1,1,0,18000.0
670,Hadapsar,1,1,1,1,1,1,0,16500.0
640,Hadapsar,1,1,1,1,1,1,0,12900.0
650,Hadapsar,1,1,0,0,1,1,0,16500.0
1400,Hadapsar,3,1,1,1,1,1,0,40500.0
1750,Hadapsar,3,1,0,0,1,1,0,48000.0
1780,Hadapsar,3,1,1,1,1,1,0,45000.0
1415,Hadapsar,3,1,1,1,1,1,0,33000.0
1687,Hadapsar,3,1,1,1,1,1,0,42000.0
1100,Hadapsar,2,1,0,0,1,1,0,20700.0
1050,Hadapsar,2,1,1,1,1,1,0,24900.0
1160,Hadapsar,2,1,1,1,1,1,0,27000.0
700,Hadapsar,1,1,0,0,1,1,0,15300.0
625,Hadapsar,1,1,1,1,1,1,0,15600.0
646,Hadapsar,1,1,0,0,1,1,0,12600.0
670,Hadapsar,1,1,1,1,1,1,0,16500.0
550,Hadapsar,1,1,1,1,1,1,0,16500.0
650,Hadapsar,1,1,0,0,1,1,0,19500.0
650,Hadapsar,1,1,0,0,1,1,0,16200.0
660,Hadapsar,1,1,1,1,1,1,0,15900.0
550,Hadapsar,1,1,1,1,1,1,0,16500.0
570,Hadapsar,1,1,0,0,1,1,0,15000.0
1415,Hadapsar,3,1,1,1,1,1,0,33000.0
1550,Hadapsar,3,1,1,1,1,1,0,42000.0
1760,Hadapsar,3,1,1,1,1,1,0,51300.0
1750,Hadapsar,3,1,0,0,1,1,0,48000.0
1475,Hadapsar,3,1,1,1,1,1,0,35400.0
759,Hadapsar,1,1,1,1,1,1,0,18000.0
600,Hadapsar,1,1,0,0,1,1,0,14600.0
640,Hadapsar,1,1,1,1,1,1,0,12900.0
550,Hadapsar,1,1,0,0,1,1,0,13500.0
620,Hadapsar,1,1,1,1,1,1,0,12300.0
550,Hadapsar,1,1,0,0,1,1,1,15000.0
745,Hadapsar,1,1,0,0,1,1,0,16500.0
580,Hadapsar,1,1,0,0,0,1,0,13500.0
570,Hadapsar,1,1,0,0,1,1,0,15000.0
670,Hadapsar,1,1,1,1,1,1,0,15900.0
1845,Hadapsar,3,1,1,1,1,1,0,57000.0
1700,Hadapsar,3,1,1,1,1,1,0,46500.0
1400,Hadapsar,3,1,1,1,1,1,0,40500.0
1680,Hadapsar,3,1,1,1,1,1,0,40800.0
1645,Hadapsar,3,1,1,1,1,1,0,46500.0
1585,Hadapsar,3,1,1,1,1,1,1,49500.0
1350,Hadapsar,2,1,0,0,1,1,0,25800.0
1075,Hadapsar,2,1,1,1,1,1,0,30000.0
1155,Hadapsar,2,1,1,1,1,1,0,31500.0
625,Hadapsar,1,1,1,1,1,1,0,14100.0
720,Hadapsar,1,1,1,1,1,1,0,18600.0
550,Hadapsar,1,1,0,0,1,1,0,13500.0
735,Hadapsar,1,1,1,1,1,1,0,20700.0
580,Hadapsar,1,1,0,0,1,1,0,13500.0
1505,Hadapsar,3,1,1,0,1,1,0,30000.0
1630,Hadapsar,3,1,0,0,1,1,0,39000.0
1550,Hadapsar,3,1,1,0,1,1,0,33000.0
1455,Sector 18 Kharghar,3,1,0,0,1,1,0,39000.0
1750,Hadapsar,3,1,0,0,1,1,0,48000.0
1098,Hadapsar,2,1,1,1,1,1,0,31500.0
1210,Sector 15 Kharghar,2,1,1,0,1,1,0,39000.0
1000,Hadapsar,2,1,1,1,1,1,0,28500.0
550,Hadapsar,1,1,0,0,1,1,0,13500.0
1550,Hadapsar,3,1,1,0,1,1,0,33000.0
1550,Hadapsar,3,1,1,0,1,1,0,33000.0
1630,Hadapsar,3,1,0,0,1,1,0,39000.0
1680,Hadapsar,3,1,1,1,1,1,0,40800.0
1650,Hadapsar,3,1,1,1,1,1,1,48600.0
1440,Hadapsar,3,1,1,1,1,1,0,45000.0
1370,Hadapsar,3,1,1,1,1,1,0,39600.0
1022,Sector 18 Kharghar,2,1,0,0,1,1,0,22500.0
1000,Hadapsar,2,1,1,1,1,1,0,28500.0
1760,Hadapsar,3,1,1,1,1,1,0,45000.0
1100,Hadapsar,2,1,0,1,1,1,0,22500.0
1550,Sector 20 Kharghar,3,1,1,1,1,0,0,39000.0
1675,Hadapsar,3,1,1,1,1,1,0,48600.0
1060,Hadapsar,2,1,0,0,0,0,0,33000.0
1150,Hadapsar,2,1,1,1,1,1,1,34800.0
670,Hadapsar,1,1,1,1,1,1,0,16800.0
900,Hadapsar,2,1,1,1,1,1,0,24000.0
1088,Hadapsar,2,1,1,0,1,1,0,28500.0
375,Dombivali,1,0,0,0,0,1,0,6100.0
1200,Churchgate,2,0,0,0,1,1,1,195000.0
1717,Prabhadevi,3,0,1,0,0,0,0,135000.0
750,Jogeshwari West,2,1,0,0,1,0,0,49500.0
525,Kalyan East,1,1,1,1,0,1,0,7100.0
1200,Malad East,2,0,0,0,0,0,0,58500.0
420,Virar East,1,0,0,0,0,0,0,6000.0
540,Virar East,1,0,0,0,0,0,0,7500.0
415,Virar East,1,0,0,0,0,0,0,6800.0
650,Virar,1,0,0,0,0,0,0,8100.0
1100,Kondhwa,2,1,1,1,1,1,0,66000.0
1105,Borivali East,2,1,1,1,1,1,0,51000.0
2600,Malad East,3,1,1,1,1,1,0,130500.0
700,Kothrud,1,1,1,0,1,1,0,14300.0
1296,Pashan,2,1,1,1,1,1,0,54300.0
1638,Pashan,3,1,1,1,1,1,0,71400.0
1465,Pashan,3,1,1,1,1,1,0,63600.0
700,Borivali East,1,1,1,1,1,1,0,25800.0
2030,Pashan,3,1,1,1,1,1,0,109500.0
1450,Kondhwa,3,1,1,1,1,1,0,71100.0
1100,Kondhwa,2,1,1,1,1,1,0,64200.0
800,Kharadi,2,1,1,1,1,1,0,37500.0
1500,Kharadi,3,1,1,1,1,1,0,54000.0
1100,Kharadi,2,1,1,1,1,1,0,39600.0
1962,Kharadi,3,1,1,1,1,1,0,105900.0
950,Borivali East,2,1,1,1,1,1,0,45900.0
1440,Kharadi,3,1,1,1,1,1,0,75000.0
1200,Kharadi,2,1,1,1,1,1,0,41700.0
1785,Baner,3,1,1,1,1,1,0,100500.0
775,Pashan,2,1,1,1,1,1,0,43500.0
765,Kharadi,1,1,1,1,1,1,0,27000.0
910,Pashan,2,1,1,1,1,1,0,40500.0
640,Pashan,1,1,1,1,1,1,0,27000.0
1264,Malad East,2,1,1,1,1,1,0,64800.0
1056,Kharadi,2,1,1,1,1,1,0,41100.0
1810,Kandivali East,3,1,1,1,1,1,0,83400.0
1656,Pashan,3,1,1,1,1,1,0,83700.0
2030,Baner,3,1,1,1,1,1,0,115800.0
1114,Andheri East,3,1,1,1,1,1,0,51000.0
3585,Pashan,4,1,1,1,1,1,0,180300.0
1404,Goregaon East,2,1,1,1,1,1,0,83700.0
1620,Goregaon East,3,1,1,1,1,1,0,94500.0
2780,Malad East,4,1,1,1,1,1,0,112500.0
1672,Malad East,3,1,1,1,1,1,0,93000.0
1200,Malad East,2,1,1,1,1,1,0,63300.0
1200,Malad East,2,1,1,1,1,1,0,49500.0
1250,Borivali East,2,1,1,1,1,1,0,48000.0
1840,Borivali East,3,1,1,1,1,1,0,78000.0
1170,Kondhwa,2,1,1,1,1,1,0,45600.0
310,Hadapsar,1,0,0,0,0,0,0,6900.0
1245,Wadala,3,1,1,1,1,1,1,99000.0
1153,Wadala,3,1,1,1,1,1,1,87000.0
573,Wagholi,2,1,1,1,1,1,0,33600.0
1100,Wagholi,2,1,1,1,1,1,0,27000.0
1135,Wagholi,2,1,1,1,1,1,0,25500.0
1060,Hadapsar,2,1,1,1,1,1,0,27000.0
560,Kondhwa,1,0,0,0,0,0,0,34500.0
1150,Dahisar,2,1,1,1,1,1,0,36300.0
1054,kandivali,2,1,1,1,1,1,0,33000.0
1695,Goregaon,3,1,1,1,1,1,0,81000.0
1579,Goregaon,3,1,1,1,1,1,0,64800.0
2153,Goregaon,3,1,1,1,1,1,0,90600.0
1872,Goregaon,4,1,1,1,1,1,0,123600.0
1717,Goregaon,3,1,1,1,1,1,0,91500.0
1675,Goregaon East,4,1,1,1,1,1,0,110100.0
1672,Malad East,3,1,1,1,1,1,0,71400.0
1457,Malad East,3,1,1,1,1,0,0,61500.0
425,Bhandup West,1,0,0,0,0,0,0,16500.0
560,thakur village kandivali east,1,0,0,0,0,0,0,27000.0
1200,Santacruz West,2,0,0,0,0,0,0,97500.0
575,Kanjurmarg,1,1,1,1,1,1,0,25500.0
575,Kanjurmarg,1,1,1,1,1,1,0,25500.0
400,Borivali East,1,0,0,0,0,0,0,27000.0
300,Kandivali East,1,0,0,0,0,0,0,7500.0
400,I C Colony,1,1,0,0,1,1,0,16500.0
650,Dahisar W,1,1,0,0,0,1,0,24000.0
1600,Malad East,3,1,1,1,1,1,0,82500.0
860,Marol,1,1,1,1,1,1,0,34500.0
1320,Parel,2,1,0,1,1,0,0,107700.0
1200,Lower Parel,2,1,0,1,1,0,0,126000.0
1320,Parel,2,1,0,1,1,0,0,99300.0
997,Jogeshwari East,3,1,0,0,1,1,0,97500.0
1038,Jogeshwari East,2,0,1,1,1,1,0,55500.0
600,Kondhwa,1,1,0,0,1,0,0,33000.0
400,Chembur Shell Colony,1,1,1,0,1,0,0,27600.0
2800,Central Avenue,4,1,1,0,1,0,0,150300.0
1400,Chembur East,3,1,0,0,1,0,0,99000.0
1500,Diamond Market Road,3,1,1,0,1,0,0,102300.0
1412,Mulund,3,1,1,0,1,1,0,65400.0
1412,Mulund,3,1,1,0,1,1,0,65400.0
1412,Mulund,3,1,1,0,1,1,0,63600.0
545,Nalasopara West,1,1,0,0,1,1,0,9000.0
585,raheja vihar,1,1,0,0,1,0,0,33000.0
1000,raheja vihar,2,1,0,0,1,0,0,53700.0
1050,Powai Lake,2,1,1,0,1,0,0,58500.0
1014,MHADA Colony 20,2,1,0,0,1,0,0,58500.0
900,Goregaon East,2,1,0,0,1,0,0,48000.0
600,Tolaram Colony,1,1,1,0,1,0,0,34500.0
700,Tolaram Colony,2,1,1,0,1,0,0,31500.0
1550,Taloja,3,1,1,1,1,1,0,19200.0
529,Vangani,1,0,0,0,0,0,0,6300.0
530,Sector 20 Kharghar,1,1,1,0,1,0,0,10800.0
1260,Sector 5 Ulwe,2,1,1,0,1,0,0,27600.0
1260,Sector12 New Panvel,2,1,1,0,1,0,0,27000.0
1150,Sector 17 Ulwe,2,1,1,0,1,0,0,27600.0
690,Sector 17 Ulwe,1,1,1,0,1,0,0,15900.0
1240,Sector9 Kamothe,3,1,1,0,1,0,0,46500.0
1260,Sector 19 Kharghar,2,1,1,0,1,0,0,28500.0
1240,Sector 5 Ulwe,2,1,1,0,1,0,0,27000.0
1265,Navi Basti,2,0,1,0,0,0,0,30300.0
1260,Sector12 Kamothe,2,1,1,0,1,0,0,32400.0
1255,Sector 21 Kamothe,2,1,1,0,1,0,0,33000.0
1055,Sector 19 Kharghar,2,1,1,0,1,0,0,21600.0
1060,Sector 5 Ulwe,2,1,1,0,1,0,0,21000.0
1238,Navi Basti,2,0,1,0,0,0,0,38100.0
1150,Sector12 Kamothe,2,1,1,0,1,0,0,25500.0
1165,Sector12 Kamothe,2,1,1,0,1,0,0,25500.0
1080,Sector9 Kamothe,2,1,1,0,1,0,0,23100.0
1470,Sector12 Kamothe,3,1,1,0,1,0,0,33000.0
610,Sector9 Kamothe,1,1,1,0,1,0,0,18000.0
1180,Sector12 Kamothe,2,1,1,0,1,0,0,27600.0
1735,Sector9 Kamothe,3,1,1,0,1,0,0,45000.0
1230,Sector 17 Ulwe,2,1,1,0,1,0,0,33000.0
599,Sector 17 Ulwe,1,1,1,0,1,1,0,13500.0
980,Sector9 Kamothe,2,1,1,0,1,0,0,26400.0
1654,Sector9 Kamothe,3,1,1,0,1,0,0,49500.0
1665,Sector 17 Ulwe,3,1,1,0,1,0,0,50400.0
1640,Sector 17 Ulwe,3,1,1,0,1,1,0,48900.0
1650,Sector 17 Ulwe,3,1,1,0,1,0,0,46500.0
980,Taloja,2,1,0,0,0,1,0,14700.0
730,Rutu Enclave,1,1,0,0,0,1,0,10200.0
1020,taloja panchanand,2,1,0,0,0,1,0,14400.0
1075,Virar West,2,1,1,0,1,0,0,18600.0
1600,Camp,3,1,0,0,0,1,0,101100.0
2800,Central Avenue,4,1,0,0,0,1,0,150300.0
715,Camp,1,1,0,0,0,0,0,32100.0
1016,Camp,2,1,0,0,0,0,0,45000.0
1000,Camp,2,1,0,0,0,0,0,55500.0
1100,Camp,2,1,0,0,0,0,0,52800.0
1060,Sector 5 Ulwe,2,1,1,0,1,0,0,21000.0
1238,Navi Basti,2,0,1,0,0,0,0,38100.0
1150,Sector12 Kamothe,2,1,1,0,1,0,0,25500.0
1165,Sector12 Kamothe,2,1,1,0,1,0,0,25500.0
1080,Sector9 Kamothe,2,1,1,0,1,0,0,23100.0
1470,Sector12 Kamothe,3,1,1,0,1,0,0,33000.0
610,Sector9 Kamothe,1,1,1,0,1,0,0,18000.0
1180,Sector12 Kamothe,2,1,1,0,1,0,0,27600.0
1735,Sector9 Kamothe,3,1,1,0,1,0,0,45000.0
1230,Sector 17 Ulwe,2,1,1,0,1,0,0,33000.0
599,Sector 17 Ulwe,1,1,1,0,1,1,0,13500.0
980,Sector9 Kamothe,2,1,1,0,1,0,0,26400.0
1654,Sector9 Kamothe,3,1,1,0,1,0,0,49500.0
1665,Sector 17 Ulwe,3,1,1,0,1,0,0,50400.0
1640,Sector 17 Ulwe,3,1,1,0,1,1,0,48900.0
1650,Sector 17 Ulwe,3,1,1,0,1,0,0,46500.0
578,Sector 20 Kamothe,1,1,0,0,0,1,0,15000.0
650,Sector 22 Kamothe,1,1,0,0,0,1,0,15000.0
600,Sector 21 Kamothe,1,1,0,0,0,1,0,12000.0
600,Sector 22 Kamothe,1,1,0,0,0,1,0,15000.0
625,Sector 18 Kamothe,1,1,0,0,0,1,0,18800.0
600,Sector 22 Kamothe,1,1,0,0,0,1,0,14400.0
560,Sector-5 Kamothe,1,1,0,0,0,1,0,11400.0
580,Sector-6A Kamothe,1,1,0,0,0,1,0,10800.0
530,Sector 11 Kamothe,1,1,0,0,0,1,0,13200.0
650,Sector-18 Ulwe,1,1,0,0,0,1,0,15000.0
1450,Sector 21 Kamothe,2,1,0,0,0,1,0,27000.0
380,Sector-12 Kamothe,1,1,0,0,0,1,0,7800.0
400,Navi Basti,1,0,0,0,0,0,0,7800.0
620,azad nagar,2,1,0,0,0,1,0,63000.0
980,Taloja,2,1,0,0,0,1,0,14700.0
730,Rutu Enclave,1,1,0,0,0,1,0,10200.0
1020,taloja panchanand,2,1,0,0,0,1,0,14400.0
1075,Virar West,2,1,1,0,1,0,0,18600.0
1038,Jogeshwari East,2,0,1,1,1,1,0,55500.0
1250,Camp,2,1,0,0,1,1,0,58800.0
1067,Sindhi Society Chembur,2,1,1,1,1,1,0,55800.0
1200,Camp,2,1,1,1,1,1,0,64500.0
780,Shivajinagar,2,1,1,0,0,0,0,33000.0
1020,Sahkar Nagar,2,1,1,0,1,1,0,41400.0
671,Deonar,1,1,1,1,1,1,0,42000.0
1650,Hadapsar,3,1,1,1,1,1,0,66000.0
1360,Hadapsar,2,1,1,1,1,1,0,43500.0
1600,Kandivali East,3,1,1,1,1,1,0,75000.0
1250,Hadapsar,2,1,1,1,1,1,1,34500.0
750,Taloja,1,1,0,0,1,1,0,12000.0
450,Taloja,1,0,0,0,1,1,0,7500.0
410,Taloja,1,0,0,0,1,1,0,6900.0
1168,Lower Parel,2,0,0,0,0,0,0,135000.0
516,Thane,1,0,1,0,0,0,0,17100.0
900,Jankalyan Nagar,1,1,0,0,1,0,0,28800.0
600,Badlapur,1,1,0,0,1,1,0,6000.0
575,Badlapur,1,1,0,0,1,1,0,6000.0
675,Ambarnath,1,1,1,0,1,1,0,7600.0
660,Ambarnath,1,1,0,0,1,1,0,7500.0
640,Ambarnath,1,1,0,0,1,1,0,7300.0
690,Ambernath West,1,1,0,1,1,1,0,7200.0
900,Vakola,2,1,0,0,1,1,0,65100.0
1150,Jankalyan Nagar,2,1,0,0,1,0,0,50100.0
350,Jankalyan Nagar,1,1,0,0,1,0,0,8700.0
950,Jankalyan Nagar,2,1,0,0,1,0,0,34500.0
900,Vakola,2,1,0,0,1,1,0,65100.0
620,Kamothe,1,1,1,0,1,1,0,12000.0
980,Kamothe,2,1,1,0,1,1,0,19200.0
950,Kamothe,2,1,1,1,1,1,0,20700.0
890,Sector 17 Ulwe,2,1,1,0,1,1,0,22500.0
619,Kamothe,1,1,1,0,1,1,0,16300.0
710,Kamothe,1,1,1,0,0,1,0,17100.0
887,Kamothe,2,1,1,0,1,1,0,21300.0
1005,Kamothe,2,1,1,0,1,1,0,23400.0
950,Kamothe,2,1,1,0,1,1,0,17700.0
660,Kamothe Sector 16,1,1,1,0,1,1,0,18600.0
650,Sector 17 Ulwe,1,1,1,0,1,1,0,16500.0
650,Kamothe,1,1,1,0,1,1,0,15000.0
638,Kamothe,1,1,1,0,1,1,0,12200.0
675,Kamothe,2,1,1,0,0,1,0,15200.0
890,Sector 17 Ulwe,2,1,1,0,1,1,0,22200.0
1006,Kamothe,2,1,1,0,1,1,0,20400.0
420,Kamothe,1,1,0,0,1,1,0,9000.0
850,Kamothe,1,1,1,0,1,1,0,15600.0
1005,Kamothe,2,1,1,0,1,1,0,20100.0
900,Kamothe,2,1,1,0,1,1,0,20700.0
940,Kamothe,2,1,1,0,1,1,0,23800.0
620,Kamothe,1,1,1,0,1,1,0,16400.0
650,Kamothe,2,1,1,0,1,1,0,14800.0
1000,Kamothe,2,1,1,0,1,1,0,21000.0
1100,Kamothe,2,1,1,0,1,1,0,25700.0
600,Kamothe,1,1,1,0,1,1,0,14400.0
350,Sector 17 Ulwe,1,1,1,0,1,1,0,8100.0
940,Kamothe,2,1,1,0,1,1,0,23700.0
900,Almeida Park,2,1,0,0,1,0,1,108000.0
700,Khar,2,1,0,0,1,1,0,105000.0
850,Koregaon Park,2,1,0,0,0,1,0,90000.0
800,Pali Hill,2,0,0,1,0,0,1,105000.0
800,15th Road,2,0,0,0,0,0,1,105000.0
770,Palghar,1,0,0,0,0,0,0,6300.0
989,Camp,2,1,1,1,1,1,0,43500.0
1550,Hadapsar,3,1,0,0,0,0,0,44700.0
550,Sector13 Kharghar,1,0,0,0,0,0,0,11100.0
416,Sector 20 Kharghar,1,0,0,0,0,1,0,8100.0
510,Hadapsar,1,1,0,0,0,1,0,11600.0
305,Hadapsar,1,1,1,0,1,1,0,8600.0
1251,Hadapsar,2,1,1,1,1,1,0,36300.0
989,Hadapsar,2,1,1,1,1,1,0,20400.0
850,Hadapsar,2,1,1,1,1,1,0,18000.0
989,Hadapsar,2,1,1,1,1,1,0,20600.0
900,Hadapsar,2,1,0,0,0,0,0,16500.0
1500,Sector 21 Kharghar,3,0,0,0,1,0,0,27600.0
650,Sector 12 Kharghar,1,0,0,0,1,1,0,15000.0
1750,Hadapsar,3,1,1,1,1,1,1,52500.0
1240,Hadapsar,2,1,1,1,1,1,0,28200.0
1560,Hadapsar,3,1,1,1,1,1,0,49500.0
640,Hadapsar,1,0,0,0,1,1,0,11100.0
350,Sector 21 Kharghar,1,0,0,0,0,0,0,8100.0
1050,Hadapsar,2,1,1,1,1,1,0,24000.0
1770,Hadapsar,3,1,1,1,1,1,1,66000.0
1230,Hadapsar,2,1,1,1,1,1,0,30600.0
450,Hadapsar,1,0,0,0,0,1,0,9300.0
655,Hadapsar,1,1,1,1,1,1,0,16500.0
780,Santacruz West,2,0,1,0,0,1,0,98400.0
780,Santacruz West,2,0,1,0,0,1,0,98400.0
550,Vivek Vidyalaya Marg,1,0,0,0,0,0,0,33000.0
510,Pashan,1,0,0,0,0,0,0,36000.0
